Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
6-Month,Train_Fit,Train Fit,LightGBM,f1,F1,0.9504587155963304,0.4149999999999998,795,259
6-Month,Validation_OOF,Validation OOF,LightGBM,auc,AUC,0.908452428974817,0.4149999999999998,795,259
6-Month,Validation_OOF,Validation OOF,LightGBM,acc,Accuracy,0.8415094339622642,0.4149999999999998,795,259
6-Month,Validation_OOF,Validation OOF,LightGBM,recall,Sensitivity,0.8108108108108109,0.4149999999999998,795,259
6-Month,Validation_OOF,Validation OOF,LightGBM,specificity,Specificity,0.8563432835820896,0.4149999999999998,795,259
6-Month,Validation_OOF,Validation OOF,LightGBM,f1,F1,0.7692307692307693,0.4149999999999998,795,259
6-Month,Test_Temporal,Temporal Test,LightGBM,auc,AUC,0.9021484375,0.4149999999999998,208,80
6-Month,Test_Temporal,Temporal Test,LightGBM,acc,Accuracy,0.8365384615384616,0.4149999999999998,208,80
6-Month,Test_Temporal,Temporal Test,LightGBM,recall,Sensitivity,0.8375,0.4149999999999998,208,80
6-Month,Test_Temporal,Temporal Test,LightGBM,specificity,Specificity,0.8359375,0.4149999999999998,208,80
6-Month,Test_Temporal,Temporal Test,LightGBM,f1,F1,0.7976190476190477,0.4149999999999998,208,80
6-Month,Train_Fit,Train Fit,Elastic+LGBM Blend,auc,AUC,0.9990275456693368,0.6249999999999998,795,259
6-Month,Train_Fit,Train Fit,Elastic+LGBM Blend,acc,Accuracy,0.9773584905660376,0.6249999999999998,795,259
6-Month,Train_Fit,Train Fit,Elastic+LGBM Blend,recall,Sensitivity,0.9382239382239382,0.6249999999999998,795,259
6-Month,Train_Fit,Train Fit,Elastic+LGBM Blend,specificity,Specificity,0.996268656716418,0.6249999999999998,795,259
